,Cellular component,Molecular function,Ligand,Biological process,PTM,no_keywords,Technical term,Domain
942282,,,,,Phosphoprotein,,Reference proteome,
942696,Cytoplasm,DNA-binding,,Transcription regulation,,,Reference proteome,
942729,,,Biotin,,,,Reference proteome,
943376,,DNA-binding,,,,,Reference proteome,
943822,,Rotamase,,,,,Reference proteome,
944090,,,Nucleotide-binding,,,,Reference proteome,
944134,Cytoplasm,,,,,,Reference proteome,
944681,,Transferase,,,,,Reference proteome,
945491,,Lyase,Zinc,Thiamine biosynthesis,,,Reference proteome,
945549,DNA-directed RNA polymerase,Transferase,Zinc,Transcription,,,Reference proteome,
945693,,Ribosomal protein,,,,,Reference proteome,
945755,,,Nucleotide-binding,,,,Reference proteome,Repeat
945766,Cytoplasm,,,Lipid metabolism,Phosphoprotein,,Reference proteome,
945854,,tRNA-binding,,,,,Reference proteome,
945860,,rRNA-binding,,,,,Reference proteome,
945862,,Ribosomal protein,,,,,Reference proteome,
945866,,rRNA-binding,,,,,Reference proteome,
945871,,tRNA-binding,,,,,Reference proteome,
945872,,Ligase,Nucleotide-binding,Lipid metabolism,,,Reference proteome,
945891,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
945892,,Ribosomal protein,,,,,Reference proteome,
945900,DNA-directed RNA polymerase,Transferase,,Transcription,,,Reference proteome,
945906,Cytoplasm,Isomerase,Metal-binding,Xylose metabolism,,,Reference proteome,
945940,,Transferase,,,,,Reference proteome,
945943,Cytoplasm,Chaperone,,,,,Reference proteome,
945948,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,Reference proteome,
946006,,Isomerase,,,,,Reference proteome,Coiled coil
947088,,,,,,,Reference proteome,
947485,,,,,,,Reference proteome,
947552,,Ribosomal protein,,,,,Reference proteome,
948215,,Ribosomal protein,,,,,Reference proteome,
948254,,,,,,,Reference proteome,
950160,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,Reference proteome,
950221,,tRNA-binding,,,,,Reference proteome,
951142,DNA-directed RNA polymerase,Transferase,Zinc,Transcription,,,,Coiled coil
951196,,Lyase,Metal-binding,Leucine biosynthesis,,,,
951215,Cytoplasm,Excision nuclease,Zinc,SOS response,,,,Zinc-finger
951218,Cytoplasm,Excision nuclease,Nucleotide-binding,SOS response,,,,Coiled coil
951230,Cytoplasm,Ligase,Nucleotide-binding,Protein biosynthesis,,,,
951266,Cytoplasm,DNA-binding,Nucleotide-binding,SOS response,,,,
951382,,rRNA-binding,,,,,,
951390,,tRNA-binding,,,,,,
951392,,tRNA-binding,,,,,,
951393,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
951395,DNA-directed RNA polymerase,Transferase,,Transcription,,,,
951397,,rRNA-binding,,,,,,
951398,,rRNA-binding,,,,,,
951401,,Ribosomal protein,,,,,,
951406,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,,
951419,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
951421,,rRNA-binding,,,,,,
951422,,Ribosomal protein,,,,,,
951428,,rRNA-binding,,,,,,
951448,,Ribosomal protein,,,,,,
951491,,Ribosomal protein,,,,,,
951604,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,,Coiled coil
951635,Cytoplasm,Transferase,Metal-binding,,,,,
951656,Cytoplasm,,Nucleotide-binding,Septation,,,,
951678,Cytoplasm,Chaperone,,,,,,
951749,,Ribosomal protein,,,,,,
952402,,,,,,True,,
952537,,Ribosomal protein,,,,,,
953113,,,,,,True,,
953167,,,,,,True,,
953169,,Chaperone,Nucleotide-binding,,,,,Repeat
953303,,,,,,True,,
953362,,,,,,True,,
954496,Cytoplasm,Topoisomerase,Nucleotide-binding,,,,Reference proteome,
954504,Membrane,Translocase,Nucleotide-binding,Transport,,,Reference proteome,Coiled coil
954517,Cytoplasm,Chaperone,Zinc,Stress response,,,Reference proteome,Zinc-finger
954583,Cytoplasm,Transferase,Metal-binding,,,,Reference proteome,
954614,Cytoplasm,Ligase,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,Coiled coil
954620,DNA-directed RNA polymerase,Transferase,Zinc,Transcription,,,Reference proteome,
954631,,Topoisomerase,Metal-binding,,,,Reference proteome,
954651,Cytoplasm,Serine protease,Nucleotide-binding,Stress response,,,Reference proteome,
954668,Primosome,Hydrolase,Nucleotide-binding,DNA replication,,,Reference proteome,
954713,,Ribosomal protein,,,,,Reference proteome,
954723,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
954734,,rRNA-binding,,,,,Reference proteome,
954739,,rRNA-binding,,,,,Reference proteome,
954740,,tRNA-binding,,,,,Reference proteome,
954742,,rRNA-binding,,,,,Reference proteome,
954744,,rRNA-binding,,,,,Reference proteome,
954770,Cytoplasm,Hydrolase,Metal-binding,,,,Reference proteome,
954774,,Transferase,,,,,Reference proteome,
954784,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,Reference proteome,
954799,,Oxidoreductase,Nucleotide-binding,Deoxyribonucleotide synthesis,,,Reference proteome,
954815,Cytoplasm,,NAD,tRNA processing,,,Reference proteome,
954826,Cytoplasm,Hydrolase,Nucleotide-binding,DNA repair,,,Reference proteome,
954837,Cytoplasm,,,Lipid metabolism,Phosphoprotein,,Reference proteome,
954852,DNA-directed RNA polymerase,Transferase,,Transcription regulation,,,Reference proteome,
954853,Cytoplasm,RNA-binding,,Transcription termination,,,Reference proteome,
954855,Cytoplasm,Ligase,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
954856,,Ribosomal protein,,,,,Reference proteome,
954892,Cytoplasm,Hydrolase,Nucleotide-binding,,,,Reference proteome,
954893,,rRNA-binding,,,,,Reference proteome,
954921,,Hydrolase,Nucleotide-binding,,,,Reference proteome,
954932,,Ribosomal protein,,,,,Reference proteome,
954939,Membrane,RNA-binding,,,,,Reference proteome,Transmembrane helix
954942,,rRNA-binding,,,,,Reference proteome,
954946,DNA-directed RNA polymerase,Transferase,,Transcription,,,Reference proteome,
954951,,tRNA-binding,,,,,Reference proteome,
954970,,Ligase,Nucleotide-binding,Lipid metabolism,,,Reference proteome,
954985,,tRNA-binding,,,,,Reference proteome,
954988,Cytoplasm,Chaperone,Nucleotide-binding,Stress response,,,Reference proteome,Repeat
954991,,rRNA-binding,,,,,Reference proteome,
954995,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,Reference proteome,
955012,,Rotamase,,,,,Reference proteome,
955021,,rRNA-binding,,,,,Reference proteome,
955022,,rRNA-binding,,,,,Reference proteome,
955077,,Protease,Nucleotide-binding,,,,Reference proteome,Repeat
955149,,,,,,,Reference proteome,
955174,,,Zinc,,,,Reference proteome,
955362,,DNA-binding,,,,,Reference proteome,
955410,,Ribosomal protein,,,,,Reference proteome,
955452,Cytoplasm,Excision nuclease,Zinc,DNA repair,,,Reference proteome,Zinc-finger
955672,,Chaperone,Nucleotide-binding,,,,Reference proteome,
955680,,Ribosomal protein,,,,,Reference proteome,
955728,,,Zinc,,,,Reference proteome,Zinc-finger
955783,,,,,,,Reference proteome,
955857,,DNA-binding,,,Phosphoprotein,,Reference proteome,
956003,,Ribosomal protein,,,,,Reference proteome,
956031,,,,,,,Reference proteome,
956129,,,,,,,Reference proteome,
956133,,Ribosomal protein,,,,,Reference proteome,
956136,,Initiation factor,,Protein biosynthesis,,,Reference proteome,
956175,,Ribosomal protein,,,,,Reference proteome,
956197,,,,,,,Reference proteome,
956200,Cytoplasm,DNA-binding,,Transcription regulation,,,Reference proteome,
956314,,DNA-binding,Nucleotide-binding,Transcription regulation,,,Reference proteome,
956678,,,,,Phosphoprotein,,Reference proteome,
956708,,Ribosomal protein,,,,,Reference proteome,
956861,,Ribosomal protein,,,,,Reference proteome,
957365,,tRNA-binding,,,,,,
958599,,,,,,True,,
961113,DNA-directed RNA polymerase,Transferase,Zinc,Transcription,,,Reference proteome,
961144,,Lyase,Zinc,Thiamine biosynthesis,,,Reference proteome,
961282,,tRNA-binding,,,,,Reference proteome,
961318,Cytoplasm,Chaperone,,,,,Reference proteome,
961374,,,,Branched-chain amino acid biosynthesis,,,Reference proteome,
961387,,Transferase,,,,,Reference proteome,
961398,,Isomerase,,,,,Reference proteome,
961412,,Elongation factor,,Transcription regulation,,,Reference proteome,
961449,,Ribosomal protein,,,,,Reference proteome,
961471,,Ribosomal protein,,,,,Reference proteome,
961482,,Ligase,Nucleotide-binding,Lipid metabolism,,,Reference proteome,
961485,Cytoplasm,Isomerase,Metal-binding,Xylose metabolism,,,Reference proteome,
961509,,rRNA-binding,,,,,Reference proteome,
961554,,rRNA-binding,,,,,Reference proteome,
961582,,tRNA-binding,,,,,Reference proteome,
961591,,rRNA-binding,,,,,Reference proteome,
961629,,Peroxidase,Metal-binding,Hydrogen peroxide,,,Reference proteome,
961678,Cytoplasm,Hydrolase,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
961679,,tRNA-binding,,,,,Reference proteome,
961694,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,Reference proteome,
961702,Cytoplasm,,,Lipid metabolism,Phosphoprotein,,Reference proteome,
961706,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,Reference proteome,
961834,,Ribosomal protein,,,,,Reference proteome,
962636,,,,,,,Reference proteome,
963333,,,,,,,Reference proteome,
963681,,Isomerase,Metal-binding,,,,Reference proteome,
964008,,Protease,Nucleotide-binding,,,,Reference proteome,Repeat
964334,,Transferase,Nucleotide-binding,,,,Reference proteome,
964651,,Ribosomal protein,,,,,Reference proteome,
965221,,Lyase,Zinc,Thiamine biosynthesis,,,,
965444,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
965447,,tRNA-binding,,,,,,
965618,Cytoplasm,Ligase,Nucleotide-binding,Arginine biosynthesis,,,,
968678,,Ribosomal protein,,,,,Reference proteome,
970387,,Ribosomal protein,,,,,Reference proteome,
971739,,Topoisomerase,Nucleotide-binding,,,,,
971844,Cytoplasm,Initiation factor,,Protein biosynthesis,,,,
971851,,rRNA-binding,,,,,,
971896,,Ribosomal protein,,,,,,
971933,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
971934,,rRNA-binding,,,,,,
971936,,tRNA-binding,,,,,,
971945,,rRNA-binding,,,,,,
971946,,rRNA-binding,,,,,,
971949,,rRNA-binding,,,,,,
971959,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
971961,,rRNA-binding,,,,,,
971962,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,,
971966,,Ribosomal protein,,,,,,
972017,,Ribosomal protein,,,,,,
972053,Cytoplasm,Sigma factor,,Transcription regulation,,,,Coiled coil
972056,,Ribosomal protein,,,,,,
972096,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,,
972178,,Ribosomal protein,,,,,,
972192,,Ribosomal protein,,,,,,
972352,Cytoplasm,,,Stress response,,,,
972903,,Ribosomal protein,,,,,,
973303,,DNA-binding,,DNA condensation,,,,
973674,Cytoplasm,tRNA-binding,Nucleotide-binding,Ribosome biogenesis,,,Reference proteome,
973684,DNA-directed RNA polymerase,Transferase,Zinc,Transcription,,,Reference proteome,
973705,Cytoplasm,Topoisomerase,Nucleotide-binding,,,,Reference proteome,Coiled coil
973706,DNA-directed RNA polymerase,Transferase,,Transcription,,,Reference proteome,
973711,Cytoplasm,Ligase,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,Coiled coil
973721,,Multifunctional enzyme,Nucleotide-binding,,,,Reference proteome,
973748,Membrane,Translocase,Zinc,Transport,,,Reference proteome,
973759,Cytoplasm,Excision nuclease,Nucleotide-binding,SOS response,,,Reference proteome,Coiled coil
973772,Cytoplasm,Ligase,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,Coiled coil
973783,Cytoplasm,Excision nuclease,Zinc,SOS response,,,Reference proteome,Zinc-finger
973785,Cytoplasm,tRNA-binding,Zinc,Protein biosynthesis,,,Reference proteome,
973805,Cytoplasm,Transferase,Nucleotide-binding,Nucleotide metabolism,Phosphoprotein,,Reference proteome,
973826,Cytoplasm,Chaperone,Nucleotide-binding,,,,Reference proteome,
973843,Cytoplasm,,Nucleotide-binding,Septation,,,Reference proteome,
973866,,Topoisomerase,Zinc,,,,Reference proteome,Zinc-finger
973901,,Peroxidase,Metal-binding,Hydrogen peroxide,,,Reference proteome,
973905,Cytoplasm,,,Transcription regulation,Disulfide bond,,Reference proteome,Redox-active center
973985,,Ribosomal protein,,,,,Reference proteome,
973986,Cytoplasm,Chaperone,,,,,Reference proteome,
973987,Cytoplasm,rRNA-binding,,Protein biosynthesis,Phosphoprotein,,Reference proteome,
974017,,rRNA-binding,,,,,Reference proteome,
974020,,rRNA-binding,,,,,Reference proteome,
974023,,Ribosomal protein,,,,,Reference proteome,
974035,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,Coiled coil
974048,,rRNA-binding,,,,,Reference proteome,
974049,,rRNA-binding,,,,,Reference proteome,
974054,,tRNA-binding,,,,,Reference proteome,
974057,,rRNA-binding,,,,,Reference proteome,
974061,Cytoplasm,,NAD,tRNA processing,,,Reference proteome,
974072,Cytoplasm,DNA-binding,,Two-component regulatory system,Phosphoprotein,,Reference proteome,
974076,,rRNA-binding,,,,,Reference proteome,
974091,,rRNA-binding,,,,,Reference proteome,
974108,Cytoplasm,,,Protein biosynthesis,Methylation,,Reference proteome,Coiled coil
974201,,rRNA-binding,,,,,Reference proteome,
974210,Cytoplasm,Ligase,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
974211,,Ribosomal protein,,,,,Reference proteome,
974249,,,,,,,Reference proteome,Lipoyl
974265,Membrane,Oxidoreductase,Flavoprotein,Transport,,,Reference proteome,
974267,Cytoplasm,Sigma factor,,Transcription regulation,,,Reference proteome,Coiled coil
974271,Cytoplasm,Repressor,Metal-binding,Transcription regulation,,,Reference proteome,
974275,,rRNA-binding,,,,,Reference proteome,
974276,,Ribosomal protein,,,,,Reference proteome,
974277,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,Reference proteome,
974297,,Oxidoreductase,Pyridoxal phosphate,,,,Reference proteome,
974307,,Sigma factor,,Transcription regulation,,,Reference proteome,
974309,,Sigma factor,,Transcription regulation,,,Reference proteome,
974311,Signal recognition particle,RNA-binding,Nucleotide-binding,,,,Reference proteome,
974323,,Rotamase,,,,,Reference proteome,
974338,,Oxidoreductase,Nucleotide-binding,DNA synthesis,,,Reference proteome,
974340,,Ribosomal protein,,,,,Reference proteome,
974350,Membrane,RNA-binding,,,,,Reference proteome,Transmembrane helix
974360,,rRNA-binding,,,,,Reference proteome,
974369,,Ribosomal protein,,,,,Reference proteome,
974371,,Ribosomal protein,,,,,Reference proteome,
974379,,Sigma factor,,Transcription regulation,,,Reference proteome,
974386,,Ligase,Pyruvate,,,,Reference proteome,
974418,Membrane,Receptor,Nucleotide-binding,,,,Reference proteome,
974449,Cytoplasm,,,Ribosome biogenesis,,,Reference proteome,
974495,Cytoplasm,Initiation factor,,Protein biosynthesis,,,Reference proteome,
974511,Cytoplasm,Transferase,Metal-binding,,,,Reference proteome,
974513,,RNA-binding,,Transcription regulation,,,Reference proteome,
974727,Cytoplasm,Activator,,Transcription regulation,,,Reference proteome,
974746,,DNA-binding,,Sporulation,,,Reference proteome,
974994,Cytoplasm,Activator,,Transcription regulation,,,Reference proteome,
975167,,DNA-binding,,,,,Reference proteome,
975192,,Ribosomal protein,,,,,Reference proteome,
975232,,Ribosomal protein,,,,,Reference proteome,
975253,,,,,,,Reference proteome,
975256,,Protease,Nucleotide-binding,,,,Reference proteome,Repeat
975316,,,,Septation,,,Reference proteome,
975348,,,,,,,Reference proteome,
975354,,,Nucleotide-binding,,,,Reference proteome,Coiled coil
975406,,Ribosomal protein,,,,,Reference proteome,
975506,,,,,,,Reference proteome,
975654,,Transferase,,,,,Reference proteome,
975913,,,,,,,Reference proteome,
976323,,DNA-binding,,Transcription regulation,,,Reference proteome,
976361,,DNA-binding,,Sporulation,,,Reference proteome,
976407,,,,,,,Reference proteome,
976459,,DNA-binding,,Two-component regulatory system,Phosphoprotein,,Reference proteome,Coiled coil
976490,,,,,,,Reference proteome,
976511,,DNA-binding,,DNA condensation,,,Reference proteome,
976518,,,Nucleotide-binding,,,,Reference proteome,
976543,Membrane,,,,,,Reference proteome,Transmembrane helix
976600,,,Zinc,,,,Reference proteome,
976610,,Ribosomal protein,,,,,Reference proteome,
976615,,,Metal-binding,Transport,,,Reference proteome,
977449,Membrane,Translocase,Nucleotide-binding,Transport,,,,
977456,,RNA-binding,Nucleotide-binding,Transcription termination,,,,
977480,Cytoplasm,tRNA-binding,Nucleotide-binding,Ribosome biogenesis,,,,
977578,Cytoplasm,Serine protease,Nucleotide-binding,Stress response,,,,Coiled coil
977601,Cytoplasm,Excision nuclease,Nucleotide-binding,SOS response,,,,Coiled coil
977653,DNA-directed RNA polymerase,Transferase,,Transcription,,,,
977657,DNA-directed RNA polymerase,Transferase,Zinc,Transcription,,,,
977706,,rRNA-binding,,,,,,
977717,,Oxidoreductase,Metal-binding,Glutamate biosynthesis,,,,Glutamine amidotransferase
977763,,Ribosomal protein,,,,,,
977836,Cytoplasm,Chaperone,Nucleotide-binding,Stress response,,,,Repeat
977839,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,,Coiled coil
977840,,rRNA-binding,,,,,,
977853,,Ligase,Nucleotide-binding,Purine biosynthesis,,,,
977878,,rRNA-binding,,,,,,
977887,,Hydrolase,Nucleotide-binding,,,,,
978038,,,,Transcription termination,,,,
978078,,rRNA-binding,,,,,,
978084,DNA-directed RNA polymerase,Transferase,,Transcription,,,,
978134,,tRNA-binding,,,Methylation,,,
978173,,rRNA-binding,,,,,,
978197,,RNA-binding,,,,,,Repeat
978203,,Ribosomal protein,,,,,,
978209,,,Metal-binding,Transport,,,,Repeat
978235,,Ribosomal protein,,,,,,
978238,Cytoplasm,Transferase,Metal-binding,,,,,
978250,,Ribosomal protein,,,,,,
978258,,rRNA-binding,,,,,,
978264,,Protease,Nucleotide-binding,,,,,Repeat
978283,,rRNA-binding,,,,,,
978285,,tRNA-binding,,,,,,
978287,,tRNA-binding,,,,,,
978303,,tRNA-binding,,,,,,
978305,,tRNA-binding,,,,,,
978310,Cytoplasm,,,Lipid metabolism,Phosphoprotein,,,
978367,,DNA-binding,,Translation regulation,,,,
978376,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
978388,,Protease,Zinc,,,,,
978414,,,,,Phosphoprotein,,,
978429,,Ribosomal protein,,,,,,
978455,,Ribosomal protein,,,,,,
978457,,rRNA-binding,,,,,,
979340,,Transferase,,,,,,
980403,,Ribosomal protein,,,,,,
980781,,,,,,True,,
981513,,Isomerase,Metal-binding,,,,,
984029,,,Nucleotide-binding,,,,,
984206,Membrane,Protease,Zinc,,,,Reference proteome,Transmembrane helix
984222,Cytoplasm,Excision nuclease,Nucleotide-binding,SOS response,,,Reference proteome,Coiled coil
984227,Membrane,Translocase,Ubiquinone,,Quinone,,Reference proteome,Repeat
984240,,Lyase,Metal-binding,Branched-chain amino acid biosynthesis,,,Reference proteome,
984272,Cytoplasm,Protease,Nucleotide-binding,,,,Reference proteome,
984296,Cytoplasm,Serine protease,Nucleotide-binding,Stress response,,,Reference proteome,
984351,Cytoplasm,Chaperone,Zinc,Stress response,,,Reference proteome,Zinc-finger
984353,DNA-directed RNA polymerase,Transferase,Zinc,Transcription,,,Reference proteome,
984374,,Lyase,Metal-binding,Leucine biosynthesis,,,Reference proteome,
984410,,Topoisomerase,Nucleotide-binding,,,,Reference proteome,
984447,,Lyase,Zinc,Thiamine biosynthesis,,,Reference proteome,
984509,,Ribosomal protein,,,,,Reference proteome,
984583,Cytoplasm,,,Protein biosynthesis,Methylation,,Reference proteome,
984607,,Oxidoreductase,Thiamine pyrophosphate,,,,Reference proteome,
984662,,Oxidoreductase,Nucleotide-binding,Deoxyribonucleotide synthesis,,,Reference proteome,
984664,Cytoplasm,Hydrolase,NAD,One-carbon metabolism,,,Reference proteome,
